slug,title,year,importance,theme,subtheme,citationCount,status,text_path,text_source,text_chars,truncated_for_model,error
more-than-an-it-system-in-the-government-the-work-ba0152ea61,More than an IT system in the government: The work divide challenges in human-AI coworking context,2024,Curated,"Policymaking, Governance, and Institutional Decision Support",Public-sector decision support and institutional workflow,2,abstract_only,data/paper_cache/text/more-than-an-it-system-in-the-government-the-work-ba0152ea61.txt,abstract_missing_download,1247,False,download_missing; abstract fallback
multi-agent-risks-from-advanced-ai-8945ba949f,Multi-Agent Risks from Advanced AI,2025,Watchlist,Peripheral and Borderline Materials,Generic AI safety and language-bias background,127,extracted,data/paper_cache/text/multi-agent-risks-from-advanced-ai-8945ba949f.txt,pdf_pypdf,120000,True,
multi-agent-strategic-games-with-llms-fdbd1666b7,Multi-Agent Strategic Games with LLMs,2026,Curated,"Strategic Reasoning, Games, Negotiation, and Cooperation",Game-theoretic and strategic reasoning benchmarks,0,extracted,data/paper_cache/text/multi-agent-strategic-games-with-llms-fdbd1666b7.txt,pdf_pypdf,68522,True,
multi-agent-human-agent-and-beyond-a-survey-on-cooperation-2cd8564809,"Multi-Agent, Human-Agent and Beyond: A Survey on Cooperation in Social Dilemmas",2024,Curated,"Foundations, Surveys, and Methods",Strategic reasoning and game-theoretic reviews,32,extracted,data/paper_cache/text/multi-agent-human-agent-and-beyond-a-survey-on-cooperation-2cd8564809.txt,pdf_pypdf,77221,True,
multi-source-models-for-civil-unrest-forecasting-2646edde14,Multi-Source Models for Civil Unrest Forecasting,2016,Curated,"Forecasting, Geopolitical Risk, and Foresight",Geopolitical event prediction systems,27,extracted,data/paper_cache/text/multi-source-models-for-civil-unrest-forecasting-2646edde14.txt,html,15797,False,
multilingual-protest-news-detection-shared-task-1-case-2021-77aede3670,"Multilingual Protest News Detection - Shared Task 1, CASE 2021",2021,Curated,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,49,extracted,data/paper_cache/text/multilingual-protest-news-detection-shared-task-1-case-2021-77aede3670.txt,pdf_pypdf,61533,True,
navigating-the-web-of-disinformation-and-misinformation-large-language-models-86ec7f2465,Navigating the Web of Disinformation and Misinformation: Large Language Models as Double-Edged Swords,2025,Curated,"AI Safety, Influence Operations, and Societal Risk",Influence operations and persuasion risk,38,extracted,data/paper_cache/text/navigating-the-web-of-disinformation-and-misinformation-large-language-models-86ec7f2465.txt,pdf_pypdf,120000,True,
network-formation-and-dynamics-among-multi-llms-6667af2d7d,Network formation and dynamics among multi-LLMs,2024,Curated,Multi-Agent Social Simulation and Synthetic Societies,"Social networks, movements, and polarization",35,extracted,data/paper_cache/text/network-formation-and-dynamics-among-multi-llms-6667af2d7d.txt,pdf_pypdf,119412,True,
new-parameters-of-power-on-llm-based-manipulation-and-control-bdcdef23f0,New parameters of power: On LLM-based manipulation and control and the spectre of strategic AI,2026,Watchlist,"AI Safety, Influence Operations, and Societal Risk",Influence operations and persuasion risk,0,extracted,data/paper_cache/text/new-parameters-of-power-on-llm-based-manipulation-and-control-bdcdef23f0.txt,html,1915,False,
nicer-than-humans-how-do-large-language-models-behave-in-514aed1eba,Nicer Than Humans: How do Large Language Models Behave in the Prisoner's Dilemma?,2024,Watchlist,Peripheral and Borderline Materials,Generic negotiation and behavioral games,65,extracted,data/paper_cache/text/nicer-than-humans-how-do-large-language-models-behave-in-514aed1eba.txt,pdf_pypdf,76978,True,
nuclear-weapons-and-coercive-diplomacy-f47f6f8102,Nuclear Weapons and Coercive Diplomacy,2017,Important,Political Science and Strategic Judgment Foundations,"Deterrence, coercion, and nuclear strategy",67,extracted,data/paper_cache/text/nuclear-weapons-and-coercive-diplomacy-f47f6f8102.txt,html,84580,True,
oasis-open-agent-social-interaction-simulations-with-one-million-agents-c2f4ffc963,OASIS: Open Agent Social Interaction Simulations with One Million Agents,2024,Curated,Multi-Agent Social Simulation and Synthetic Societies,Generative agents and social simulation platforms,97,extracted,data/paper_cache/text/oasis-open-agent-social-interaction-simulations-with-one-million-agents-c2f4ffc963.txt,pdf_pypdf,106586,True,
on-large-language-models-in-national-security-applications-66a372acef,On Large Language Models in National Security Applications,2024,Curated,"Geopolitics, Diplomacy, National Security, and Wargaming",National security applications and doctrine,31,extracted,data/paper_cache/text/on-large-language-models-in-national-security-applications-66a372acef.txt,pdf_pypdf,61603,True,
open-ended-wargames-with-large-language-models-800982d3ff,Open-Ended Wargames with Large Language Models,2024,Important,"Geopolitics, Diplomacy, National Security, and Wargaming",Military decision-making and wargaming,6,extracted,data/paper_cache/text/open-ended-wargames-with-large-language-models-800982d3ff.txt,pdf_pypdf,43604,False,
openep-open-ended-future-event-prediction-7ab945796a,OpenEP: Open-Ended Future Event Prediction,2024,Important,"Forecasting, Geopolitical Risk, and Foresight",Forecasting benchmarks and datasets,12,extracted,data/paper_cache/text/openep-open-ended-future-event-prediction-7ab945796a.txt,pdf_pypdf,57673,True,
opportunities-and-risks-of-llms-for-scalable-deliberation-with-polis-c44e0a83c9,Opportunities and Risks of LLMs for Scalable Deliberation with Polis,2023,Important,"Policymaking, Governance, and Institutional Decision Support",Policy persuasion and democratic deliberation,60,extracted,data/paper_cache/text/opportunities-and-risks-of-llms-for-scalable-deliberation-with-polis-c44e0a83c9.txt,pdf_pypdf,115807,True,
oracleproto-a-reproducible-framework-for-benchmarking-llm-native-forecasting-via-6b56abbe1c,OracleProto: A Reproducible Framework for Benchmarking LLM Native Forecasting via Knowledge Cutoff and Temporal Masking,2026,Watchlist,"Forecasting, Geopolitical Risk, and Foresight",Forecasting benchmarks and datasets,0,extracted,data/paper_cache/text/oracleproto-a-reproducible-framework-for-benchmarking-llm-native-forecasting-via-6b56abbe1c.txt,pdf_pypdf,85162,True,
out-of-one-many-using-language-models-to-simulate-human-34462bb538,"Out of One, Many: Using Language Models to Simulate Human Samples",2023,Important,Multi-Agent Social Simulation and Synthetic Societies,Synthetic populations and human samples,1023,extracted,data/paper_cache/text/out-of-one-many-using-language-models-to-simulate-human-34462bb538.txt,pdf_pypdf,120000,True,
parlai-vote-a-web-platform-for-analyzing-gender-and-political-5d17cd88ce,ParlAI Vote: A Web Platform for Analyzing Gender and Political Bias in Large Language Models,2025,Curated,"Politics, Democracy, Public Opinion, and Persuasion",Legislative and political-agent simulation,0,extracted,data/paper_cache/text/parlai-vote-a-web-platform-for-analyzing-gender-and-political-5d17cd88ce.txt,pdf_pypdf,23818,False,
parliabench-an-evaluation-and-benchmarking-framework-for-llm-generated-parliamen-32f9bce8c7,ParliaBench: An Evaluation and Benchmarking Framework for LLM-Generated Parliamentary Speech,2025,Curated,"Politics, Democracy, Public Opinion, and Persuasion",Legislative and political-agent simulation,0,extracted,data/paper_cache/text/parliabench-an-evaluation-and-benchmarking-framework-for-llm-generated-parliamen-32f9bce8c7.txt,pdf_pypdf,92086,True,
pearl-harbor-warning-and-decision-754deab35a,Pearl Harbor: Warning and Decision,1962,Core,Political Science and Strategic Judgment Foundations,Intelligence analysis and structured analytic techniques,129,missing_download,,,0,False,download_missing
perception-and-misperception-in-international-politics-64e87728de,Perception and Misperception in International Politics,1976,Core,Political Science and Strategic Judgment Foundations,"International politics, intelligence, and crisis judgment",2913,extracted,data/paper_cache/text/perception-and-misperception-in-international-politics-64e87728de.txt,html,1625,False,
performance-and-biases-of-large-language-models-in-public-opinion-c71b32afb8,Performance and biases of Large Language Models in public opinion simulation,2024,Important,"Politics, Democracy, Public Opinion, and Persuasion","Public opinion, polling, and political annotation",97,extracted,data/paper_cache/text/performance-and-biases-of-large-language-models-in-public-opinion-c71b32afb8.txt,pdf_pypdf,73773,True,
persona-driven-simulation-of-voting-behavior-in-the-european-parliament-a074bc7dbb,Persona-driven Simulation of Voting Behavior in the European Parliament with Large Language Models,2025,Important,"Politics, Democracy, Public Opinion, and Persuasion",Legislative and political-agent simulation,0,extracted,data/paper_cache/text/persona-driven-simulation-of-voting-behavior-in-the-european-parliament-a074bc7dbb.txt,pdf_pypdf,94887,True,
pitfalls-in-evaluating-language-model-forecasters-e48e1aaf45,Pitfalls in Evaluating Language Model Forecasters,2025,Important,"Forecasting, Geopolitical Risk, and Foresight",Forecasting performance and aggregation,12,extracted,data/paper_cache/text/pitfalls-in-evaluating-language-model-forecasters-e48e1aaf45.txt,pdf_pypdf,63991,True,
playing-repeated-games-with-large-language-models-3d20246b56,Playing repeated games with large language models,2023,Important,"Strategic Reasoning, Games, Negotiation, and Cooperation",Game-theoretic and strategic reasoning benchmarks,243,extracted,data/paper_cache/text/playing-repeated-games-with-large-language-models-3d20246b56.txt,pdf_pypdf,66366,True,
policon-evaluating-llms-on-achieving-diverse-political-consensus-objectives-88447ae4eb,PoliCon: Evaluating LLMs on Achieving Diverse Political Consensus Objectives,2025,Curated,"Policymaking, Governance, and Institutional Decision Support",Policy persuasion and democratic deliberation,2,extracted,data/paper_cache/text/policon-evaluating-llms-on-achieving-diverse-political-consensus-objectives-88447ae4eb.txt,pdf_pypdf,120000,True,
political-actor-agent-simulating-legislative-politics-with-llm-agents-bee492efd4,Political Actor Agent: Simulating Legislative Politics with LLM Agents,2024,Important,"Politics, Democracy, Public Opinion, and Persuasion",Legislative and political-agent simulation,6,extracted,data/paper_cache/text/political-actor-agent-simulating-legislative-politics-with-llm-agents-bee492efd4.txt,pdf_pypdf,39832,False,
political-biases-and-inconsistencies-in-bilingual-gpt-models-the-cases-d48f04baad,Political biases and inconsistencies in bilingual GPT models—the cases of the U.S. and China,2024,Curated,"Politics, Democracy, Public Opinion, and Persuasion",Multilingual and geopolitical bias,11,extracted,data/paper_cache/text/political-biases-and-inconsistencies-in-bilingual-gpt-models-the-cases-d48f04baad.txt,pdf_pypdf,68170,True,
political-compass-or-spinning-arrow-towards-more-meaningful-evaluations-for-1f9752596c,Political Compass or Spinning Arrow? Towards More Meaningful Evaluations for Values and Opinions in Large Language Models,2024,Important,"Politics, Democracy, Public Opinion, and Persuasion","Political ideology, representation, and bias",155,extracted,data/paper_cache/text/political-compass-or-spinning-arrow-towards-more-meaningful-evaluations-for-1f9752596c.txt,pdf_pypdf,66381,True,
political-event-coding-as-text-to-text-sequence-generation-1c7575c2a3,Political Event Coding as Text-to-Text Sequence Generation,2022,Important,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,3,extracted,data/paper_cache/text/political-event-coding-as-text-to-text-sequence-generation-1c7575c2a3.txt,pdf_pypdf,28964,False,
political-science-keds-a-program-for-the-machine-coding-of-24d9f97a10,Political Science: KEDS-A Program for the Machine Coding of Event Data,1994,Core,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,165,missing_download,,,0,False,download_missing
political-llm-large-language-models-in-political-science-8d55487bf6,Political-LLM: Large Language Models in Political Science,2024,Core,"Foundations, Surveys, and Methods",Political science and computational social science overviews,32,extracted,data/paper_cache/text/political-llm-large-language-models-in-political-science-8d55487bf6.txt,pdf_pypdf,120000,True,
posim-a-multi-agent-simulation-framework-for-social-media-public-1e3a24a74a,POSIM: A Multi-Agent Simulation Framework for Social Media Public Opinion Evolution and Governance,2026,Curated,Multi-Agent Social Simulation and Synthetic Societies,"Social networks, movements, and polarization",1,extracted,data/paper_cache/text/posim-a-multi-agent-simulation-framework-for-social-media-public-1e3a24a74a.txt,pdf_pypdf,120000,True,
precedents-progress-and-prospects-in-political-event-data-81748f5f8b,"Precedents, Progress, and Prospects in Political Event Data",2012,Important,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,126,missing_download,,,0,False,download_missing
predicting-legislative-roll-calls-from-text-b20e82cd74,Predicting Legislative Roll Calls from Text,2011,Core,Classical Political NLP and Information Extraction,Legislative speech and policy text classification,209,extracted,data/paper_cache/text/predicting-legislative-roll-calls-from-text-b20e82cd74.txt,pdf_pypdf,32469,False,
preserving-disagreement-architectural-heterogeneity-and-coherence-validation-in--c6bda53d15,Preserving Disagreement: Architectural Heterogeneity and Coherence Validation in Multi-Agent Policy Simulation,2026,Curated,"Policymaking, Governance, and Institutional Decision Support",Policy persuasion and democratic deliberation,0,extracted,data/paper_cache/text/preserving-disagreement-architectural-heterogeneity-and-coherence-validation-in--c6bda53d15.txt,pdf_pypdf,64488,True,
prompt-injection-vulnerability-of-consensus-generating-applications-in-digital-d-6741e52985,Prompt Injection Vulnerability of Consensus Generating Applications in Digital Democracy,2025,Curated,"AI Safety, Influence Operations, and Societal Risk",Influence operations and persuasion risk,1,extracted,data/paper_cache/text/prompt-injection-vulnerability-of-consensus-generating-applications-in-digital-d-6741e52985.txt,pdf_pypdf,113874,True,
prophet-an-inferable-future-forecasting-benchmark-with-causal-intervened-likelih-8fe5ca097e,PROPHET: An Inferable Future Forecasting Benchmark with Causal Intervened Likelihood Estimation,2025,Curated,"Forecasting, Geopolitical Risk, and Foresight",Forecasting benchmarks and datasets,5,extracted,data/paper_cache/text/prophet-an-inferable-future-forecasting-benchmark-with-causal-intervened-likelih-8fe5ca097e.txt,pdf_pypdf,64126,True,
psychologically-valid-generative-agents-a-novel-approach-to-agent-based-a902d60dc3,Psychologically-Valid Generative Agents: A Novel Approach to Agent-Based Modeling in Social Sciences,2024,Curated,Multi-Agent Social Simulation and Synthetic Societies,Synthetic populations and human samples,13,extracted,data/paper_cache/text/psychologically-valid-generative-agents-a-novel-approach-to-agent-based-a902d60dc3.txt,pdf_pypdf,41478,False,
psychology-of-intelligence-analysis-45ac2c3326,Psychology of Intelligence Analysis,1999,Core,Political Science and Strategic Judgment Foundations,Intelligence analysis and structured analytic techniques,918,abstract_only,data/paper_cache/text/psychology-of-intelligence-analysis-45ac2c3326.txt,html,280,False,no extractable text and no abstract
ptfa-an-llm-based-agent-that-facilitates-online-consensus-building-4c54ab4af7,PTFA: An LLM-based Agent that Facilitates Online Consensus Building through Parallel Thinking,2025,Curated,"Policymaking, Governance, and Institutional Decision Support",Policy persuasion and democratic deliberation,0,extracted,data/paper_cache/text/ptfa-an-llm-based-agent-that-facilitates-online-consensus-building-4c54ab4af7.txt,pdf_pypdf,43120,False,
random-silicon-sampling-simulating-human-sub-population-opinion-using-a-c907547204,Random Silicon Sampling: Simulating Human Sub-Population Opinion Using a Large Language Model Based on Group-Level Demographic Information,2024,Curated,"Politics, Democracy, Public Opinion, and Persuasion","Public opinion, polling, and political annotation",44,extracted,data/paper_cache/text/random-silicon-sampling-simulating-human-sub-population-opinion-using-a-c907547204.txt,pdf_pypdf,84348,True,
rationalist-explanations-for-war-a454452cde,Rationalist Explanations for War,1995,Core,Political Science and Strategic Judgment Foundations,"Bargaining, signaling, and war",3515,extracted,data/paper_cache/text/rationalist-explanations-for-war-a454452cde.txt,html,36078,False,
recent-trends-in-online-foreign-influence-efforts-0228027842,Recent Trends in Online Foreign Influence Efforts,2019,Curated,"AI Safety, Influence Operations, and Societal Risk",Influence operations and persuasion risk,31,missing_download,,,0,False,download_missing
red-lines-and-grey-zones-in-the-fog-of-war-68d306ffa1,"Red Lines and Grey Zones in the Fog of War: Benchmarking Legal Risk, Moral Harm, and Regional Bias in Large Language Model Military Decision-Making",2025,Important,"Geopolitics, Diplomacy, National Security, and Wargaming",Military decision-making and wargaming,1,extracted,data/paper_cache/text/red-lines-and-grey-zones-in-the-fog-of-war-68d306ffa1.txt,pdf_pypdf,120000,True,
replacing-or-enhancing-the-human-coder-multiclass-classification-of-policy-aab990c1eb,Replacing or enhancing the human coder? Multiclass classification of policy documents with large language models,2025,Curated,Classical Political NLP and Information Extraction,Political text as data and policy-position extraction,2,extracted,data/paper_cache/text/replacing-or-enhancing-the-human-coder-multiclass-classification-of-policy-aab990c1eb.txt,html,14665,False,
reproducing-and-extending-experiments-in-behavioral-strategy-with-large-language-a5f6aeb09c,Reproducing and Extending Experiments in Behavioral Strategy with Large Language Models,2024,Watchlist,Peripheral and Borderline Materials,Business and managerial strategy,3,extracted,data/paper_cache/text/reproducing-and-extending-experiments-in-behavioral-strategy-with-large-language-a5f6aeb09c.txt,pdf_pypdf,72120,True,
richelieu-self-evolving-llm-based-agents-for-ai-diplomacy-e15827f48d,Richelieu: Self-Evolving LLM-Based Agents for AI Diplomacy,2024,Curated,"Geopolitics, Diplomacy, National Security, and Wargaming",Diplomacy and international institutions,39,extracted,data/paper_cache/text/richelieu-self-evolving-llm-based-agents-for-ai-diplomacy-e15827f48d.txt,pdf_pypdf,91656,True,
s3-social-network-simulation-system-with-large-language-model-empowered-1ec983f79a,S3: Social-network Simulation System with Large Language Model-Empowered Agents,2023,Important,Multi-Agent Social Simulation and Synthetic Societies,Generative agents and social simulation platforms,299,extracted,data/paper_cache/text/s3-social-network-simulation-system-with-large-language-model-empowered-1ec983f79a.txt,pdf_pypdf,71613,True,
scaling-open-ended-reasoning-to-predict-the-future-7ec36b79c0,Scaling Open-Ended Reasoning to Predict the Future,2025,Curated,"Forecasting, Geopolitical Risk, and Foresight",Forecasting performance and aggregation,6,extracted,data/paper_cache/text/scaling-open-ended-reasoning-to-predict-the-future-7ec36b79c0.txt,pdf_pypdf,120000,True,
scattered-hypothesis-generation-for-open-ended-event-forecasting-7a15eae240,Scattered Hypothesis Generation for Open-Ended Event Forecasting,2026,Watchlist,"Forecasting, Geopolitical Risk, and Foresight",Forecasting performance and aggregation,0,extracted,data/paper_cache/text/scattered-hypothesis-generation-for-open-ended-event-forecasting-7a15eae240.txt,pdf_pypdf,65343,True,
sci2pol-evaluating-and-fine-tuning-llms-on-scientific-to-policy-0d37642c31,Sci2Pol: Evaluating and Fine-tuning LLMs on Scientific-to-Policy Brief Generation,2025,Curated,"Policymaking, Governance, and Institutional Decision Support",Policy translation and policy brief generation,0,extracted,data/paper_cache/text/sci2pol-evaluating-and-fine-tuning-llms-on-scientific-to-policy-0d37642c31.txt,pdf_pypdf,120000,True,
shall-we-team-up-exploring-spontaneous-cooperation-of-competing-llm-5c2bb4221c,Shall We Team Up: Exploring Spontaneous Cooperation of Competing LLM Agents,2024,Watchlist,Peripheral and Borderline Materials,Generic negotiation and behavioral games,49,extracted,data/paper_cache/text/shall-we-team-up-exploring-spontaneous-cooperation-of-competing-llm-5c2bb4221c.txt,pdf_pypdf,98331,True,
should-chatgpt-be-biased-challenges-and-risks-of-bias-in-d927e4d05f,Should ChatGPT be Biased? Challenges and Risks of Bias in Large Language Models,2023,Important,"Politics, Democracy, Public Opinion, and Persuasion","Political ideology, representation, and bias",369,extracted,data/paper_cache/text/should-chatgpt-be-biased-challenges-and-risks-of-bias-in-d927e4d05f.txt,pdf_pypdf,88102,True,
simulated-ignorance-fails-a-systematic-study-of-llm-behaviors-on-776eb108e9,Simulated Ignorance Fails: A Systematic Study of LLM Behaviors on Forecasting Problems Before Model Knowledge Cutoff,2026,Important,"Forecasting, Geopolitical Risk, and Foresight",Forecasting performance and aggregation,3,extracted,data/paper_cache/text/simulated-ignorance-fails-a-systematic-study-of-llm-behaviors-on-776eb108e9.txt,pdf_pypdf,39817,False,
simulating-human-strategic-behavior-comparing-single-and-multi-agent-llms-ecaf18643e,Simulating Human Strategic Behavior: Comparing Single and Multi-agent LLMs,2024,Curated,"Strategic Reasoning, Games, Negotiation, and Cooperation",Behavioral game tests and human-like strategy,50,extracted,data/paper_cache/text/simulating-human-strategic-behavior-comparing-single-and-multi-agent-llms-ecaf18643e.txt,pdf_pypdf,40213,False,
simulating-influence-dynamics-with-llm-agents-c0d29b5e93,Simulating Influence Dynamics with LLM Agents,2025,Important,"Geopolitics, Diplomacy, National Security, and Wargaming","Conflict, escalation, and geopolitical simulation",5,extracted,data/paper_cache/text/simulating-influence-dynamics-with-llm-agents-c0d29b5e93.txt,pdf_pypdf,18533,False,
simulating-misinformation-vulnerabilities-with-agent-personas-af68016170,Simulating Misinformation Vulnerabilities with Agent Personas,2025,Curated,"AI Safety, Influence Operations, and Societal Risk",Influence operations and persuasion risk,1,extracted,data/paper_cache/text/simulating-misinformation-vulnerabilities-with-agent-personas-af68016170.txt,pdf_pypdf,44193,False,
simulating-online-social-media-conversations-on-controversial-topics-using-ai-d6448f9e3f,Simulating Online Social Media Conversations on Controversial Topics Using AI Agents Calibrated on Real-World Data,2025,Curated,Multi-Agent Social Simulation and Synthetic Societies,"Social networks, movements, and polarization",1,extracted,data/paper_cache/text/simulating-online-social-media-conversations-on-controversial-topics-using-ai-d6448f9e3f.txt,pdf_pypdf,83283,True,
simulating-policy-discussions-with-digital-footprints-and-large-language-models-28dcd0232d,Simulating Policy Discussions with Digital Footprints and Large Language Models,2025,Curated,"Policymaking, Governance, and Institutional Decision Support",Democratic governance and augmentation,0,extracted,data/paper_cache/text/simulating-policy-discussions-with-digital-footprints-and-large-language-models-28dcd0232d.txt,pdf_pypdf,4020,False,
simulating-public-opinion-comparing-distributional-and-individual-level-predicti-6734bbc474,Simulating Public Opinion: Comparing Distributional and Individual-Level Predictions from LLMs and Random Forests,2025,Important,Multi-Agent Social Simulation and Synthetic Societies,Synthetic populations and human samples,2,extracted,data/paper_cache/text/simulating-public-opinion-comparing-distributional-and-individual-level-predicti-6734bbc474.txt,html,8068,False,
simulating-strategic-reasoning-comparing-the-ability-of-single-llms-and-e9eeb582f9,Simulating Strategic Reasoning: Comparing the Ability of Single LLMs and Multi-Agent Systems to Replicate Human Behavior,2024,Curated,"Strategic Reasoning, Games, Negotiation, and Cooperation",Behavioral game tests and human-like strategy,21,extracted,data/paper_cache/text/simulating-strategic-reasoning-comparing-the-ability-of-single-llms-and-e9eeb582f9.txt,pdf_pypdf,40213,False,
social-policy-of-large-language-models-how-gpt-claude-deepseek-25ea06e557,"Social Policy of Large Language Models: How GPT, Claude, DeepSeek and Grok Allocate Social Budgets in Spain and Germany",2026,Watchlist,"Policymaking, Governance, and Institutional Decision Support","Strategic evaluation, bias, and foresight",0,extracted,data/paper_cache/text/social-policy-of-large-language-models-how-gpt-claude-deepseek-25ea06e557.txt,pdf_pypdf,51116,True,
social-simulacra-creating-populated-prototypes-for-social-computing-systems-d52ec9a0db,Social Simulacra: Creating Populated Prototypes for Social Computing Systems,2022,Curated,Multi-Agent Social Simulation and Synthetic Societies,Generative agents and social simulation platforms,456,extracted,data/paper_cache/text/social-simulacra-creating-populated-prototypes-for-social-computing-systems-d52ec9a0db.txt,pdf_pypdf,109521,True,
socio-political-events-of-conflict-and-unrest-a-survey-of-d1038b551d,Socio-political Events of Conflict and Unrest: A Survey of Available Datasets,2024,Curated,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,7,extracted,data/paper_cache/text/socio-political-events-of-conflict-and-unrest-a-survey-of-d1038b551d.txt,pdf_pypdf,62657,True,
socioverse-a-world-model-for-social-simulation-powered-by-llm-7ce05e4f99,SocioVerse: A World Model for Social Simulation Powered by LLM Agents and A Pool of 10 Million Real-World Users,2025,Curated,Multi-Agent Social Simulation and Synthetic Societies,Generative agents and social simulation platforms,40,extracted,data/paper_cache/text/socioverse-a-world-model-for-social-simulation-powered-by-llm-7ce05e4f99.txt,pdf_pypdf,80749,True,
sotopia-interactive-evaluation-for-social-intelligence-in-language-agents-f535ef9dee,SOTOPIA: Interactive Evaluation for Social Intelligence in Language Agents,2023,Curated,Peripheral and Borderline Materials,Generic negotiation and behavioral games,302,extracted,data/paper_cache/text/sotopia-interactive-evaluation-for-social-intelligence-in-language-agents-f535ef9dee.txt,pdf_pypdf,120000,True,
spin-bench-how-well-do-llms-plan-strategically-and-reason-b775d8bd21,SPIN-Bench: How Well Do LLMs Plan Strategically and Reason Socially?,2025,Important,"Strategic Reasoning, Games, Negotiation, and Cooperation",Game-theoretic and strategic reasoning benchmarks,15,extracted,data/paper_cache/text/spin-bench-how-well-do-llms-plan-strategically-and-reason-b775d8bd21.txt,pdf_pypdf,120000,True,
stable-and-expert-aligned-evaluation-of-wargaming-strategies-via-optimized-305d079958,Stable and Expert-Aligned Evaluation of Wargaming Strategies via Optimized LLM Scoring Agents,2025,Curated,"Geopolitics, Diplomacy, National Security, and Wargaming",Military decision-making and wargaming,0,extracted,data/paper_cache/text/stable-and-expert-aligned-evaluation-of-wargaming-strategies-via-optimized-305d079958.txt,html,843,False,
strategic-behavior-of-large-language-models-and-the-role-of-dcae50f0b5,Strategic behavior of large language models and the role of game structure versus contextual framing,2024,Important,"Strategic Reasoning, Games, Negotiation, and Cooperation",Game-theoretic and strategic reasoning benchmarks,57,extracted,data/paper_cache/text/strategic-behavior-of-large-language-models-and-the-role-of-dcae50f0b5.txt,pdf_pypdf,55714,True,
strategic-reasoning-with-language-models-9cd08cfe5f,Strategic Reasoning with Language Models,2023,Curated,"Strategic Reasoning, Games, Negotiation, and Cooperation",Game-theoretic and strategic reasoning benchmarks,66,extracted,data/paper_cache/text/strategic-reasoning-with-language-models-9cd08cfe5f.txt,pdf_pypdf,77664,True,
structured-analytic-techniques-for-intelligence-analysis-579184390b,Structured Analytic Techniques for Intelligence Analysis,2010,Core,Political Science and Strategic Judgment Foundations,Intelligence analysis and structured analytic techniques,158,abstract_only,data/paper_cache/text/structured-analytic-techniques-for-intelligence-analysis-579184390b.txt,html,598,False,no extractable text and no abstract
superforecasting-the-art-and-science-of-prediction-23500fa86a,Superforecasting: The Art and Science of Prediction,2015,Core,Political Science and Strategic Judgment Foundations,"Forecasting, hindsight bias, and expert judgment",660,abstract_only,data/paper_cache/text/superforecasting-the-art-and-science-of-prediction-23500fa86a.txt,html,349,False,no extractable text and no abstract
surfacing-citizens-policy-perspectives-at-scale-in-the-age-of-74c3af07ca,Surfacing citizens’ policy perspectives at scale in the age of large language models,2025,Important,"Policymaking, Governance, and Institutional Decision Support",Democratic governance and augmentation,0,abstract_only,data/paper_cache/text/surfacing-citizens-policy-perspectives-at-scale-in-the-age-of-74c3af07ca.txt,abstract,1013,False,downloaded file had too little extractable text
surveying-with-ai-simulating-human-responses-using-personalized-llm-agents-c608e10348,Surveying with AI: Simulating Human Responses Using Personalized LLM Agents and Social Media Data,2025,Curated,Multi-Agent Social Simulation and Synthetic Societies,Synthetic populations and human samples,0,extracted,data/paper_cache/text/surveying-with-ai-simulating-human-responses-using-personalized-llm-agents-c608e10348.txt,html,847,False,
synthetically-generated-text-for-supervised-text-analysis-5f73cf3060,Synthetically generated text for supervised text analysis,2023,Curated,Classical Political NLP and Information Extraction,Political text as data and policy-position extraction,16,extracted,data/paper_cache/text/synthetically-generated-text-for-supervised-text-analysis-5f73cf3060.txt,pdf_pypdf,82095,True,
systematic-biases-in-llm-simulations-of-debates-355755d2a3,Systematic Biases in LLM Simulations of Debates,2024,Important,"Politics, Democracy, Public Opinion, and Persuasion","Deliberation, persuasion, and information environments",119,extracted,data/paper_cache/text/systematic-biases-in-llm-simulations-of-debates-355755d2a3.txt,pdf_pypdf,61440,True,
text-as-data-the-promise-and-pitfalls-of-automatic-content-900cffe464,Text as Data: The Promise and Pitfalls of Automatic Content Analysis Methods for Political Texts,2013,Core,Classical Political NLP and Information Extraction,Political text as data and policy-position extraction,2987,extracted,data/paper_cache/text/text-as-data-the-promise-and-pitfalls-of-automatic-content-900cffe464.txt,pdf_pypdf,120000,True,
textual-predictors-of-bill-survival-in-congressional-committees-2780e635de,Textual Predictors of Bill Survival in Congressional Committees,2012,Core,Classical Political NLP and Information Extraction,Legislative speech and policy text classification,70,missing_text,,html,0,False,no extractable text and no abstract
the-ai-gpr-index-measuring-geopolitical-risk-using-artificial-intelligence-1b5e4b750d,The AI-GPR Index: Measuring Geopolitical Risk using Artificial Intelligence,n.d.,Core,"Forecasting, Geopolitical Risk, and Foresight",Geoeconomic and geopolitical risk signals,n/a,extracted,data/paper_cache/text/the-ai-gpr-index-measuring-geopolitical-risk-using-artificial-intelligence-1b5e4b750d.txt,pdf_pypdf,84637,True,
